iter	MAE
0	1.142196819
1	1.132401639
2	1.123471215
3	1.11461016
4	1.105466127
5	1.096135588
6	1.087056238
7	1.078573951
8	1.071539552
9	1.063959906
10	1.057391009
11	1.050558743
12	1.044656209
13	1.038296723
14	1.032266438
15	1.026938286
16	1.021088764
17	1.014836956
18	1.009135188
19	1.004012366
20	0.9994832305
21	0.9947374512
22	0.9898540462
23	0.9840658817
24	0.9796223452
25	0.9750551192
26	0.9709826326
27	0.9670681352
28	0.9636548361
29	0.9595341116
30	0.9564719696
31	0.9526837621
32	0.9495810002
33	0.9466272962
34	0.9434163635
35	0.940523729
36	0.9376685948
37	0.9345828353
38	0.9319380565
39	0.9286113081
40	0.9260298289
41	0.9236977491
42	0.9212175141
43	0.9192195075
44	0.9166925473
45	0.9141187837
46	0.9112933072
47	0.9087488335
48	0.9071744635
49	0.9050612312
50	0.9032645901
51	0.9012542217
52	0.8992544284
53	0.8972454117
54	0.8951893674
55	0.8932589776
56	0.8913734716
57	0.8896565794
58	0.8882741486
59	0.886637927
60	0.8848213402
61	0.8831347742
62	0.8814954019
63	0.8797440256
64	0.8782478619
65	0.8772545641
66	0.8760174858
67	0.8746966955
68	0.8733316052
69	0.872279955
70	0.8706750975
71	0.8696101659
72	0.8686057583
73	0.8676483565
74	0.8664006676
75	0.8651721184
76	0.8637365901
77	0.862530161
78	0.8613312637
79	0.860225786
80	0.8593291889
81	0.8584439318
82	0.8577233956
83	0.8567607131
84	0.8558477082
85	0.8548713156
86	0.8540966723
87	0.8533833828
88	0.8526663919
89	0.8517799003
90	0.8507919048
91	0.8497599787
92	0.8492002664
93	0.8485054327
94	0.8479798178
95	0.8472862849
96	0.8463362695
97	0.8458138297
98	0.8448525232
99	0.8441442377
100	0.8436616971
101	0.8430048143
102	0.8422928627
103	0.8415673993
104	0.8410068806
105	0.8404236732
106	0.840067045
107	0.8395642027
108	0.839083533
109	0.8385817999
110	0.8379907949
111	0.8375542511
112	0.8371383778
113	0.8365822754
114	0.8358180827
115	0.8353938397
116	0.8350240371
117	0.8344938039
118	0.8341284033
119	0.8338053012
120	0.8331580847
121	0.8328244062
122	0.832463002
123	0.8320412936
124	0.831597424
125	0.8311435843
126	0.8308049816
127	0.8303743439
128	0.8299536827
129	0.8295569911
130	0.8291144833
131	0.8286381264
132	0.8282120984
133	0.8278353007
134	0.8275164318
135	0.8271185336
136	0.8266800432
137	0.8262105797
138	0.8258546848
139	0.8253732463
140	0.825088369
141	0.82487782
142	0.8245690647
143	0.8241303472
144	0.8235373588
145	0.8228382372
146	0.8220721734
147	0.8216810212
148	0.8211708317
149	0.8206215072
150	0.82010367
151	0.8196015889
152	0.8189832425
153	0.8184677401
154	0.8179873176
155	0.8174980689
156	0.8171367135
157	0.8167148955
158	0.8162315476
159	0.8155844087
160	0.8150844091
161	0.8145295894
162	0.8139919573
163	0.8134109904
164	0.8128899264
165	0.8123535825
166	0.8118685621
167	0.811415816
168	0.8110487499
169	0.8107070354
170	0.8102493805
171	0.8098254726
172	0.8094017136
173	0.8087178457
174	0.8081642836
175	0.8075939069
176	0.8071837018
177	0.8069222197
178	0.8064271535
179	0.8060130337
180	0.8056005163
181	0.8052796687
182	0.8048034984
183	0.8045063923
184	0.8041424795
185	0.8038629221
186	0.8034559937
187	0.8030263216
188	0.8025783174
189	0.8021821249
190	0.8018769362
191	0.8014165339
192	0.8009430842
193	0.80039593
194	0.7999894171
195	0.7995841006
196	0.7992234564
197	0.798745021
198	0.7982858309
199	0.7979192981
200	0.7974764005
201	0.79723845
202	0.7968161427
203	0.796416567
204	0.7959998069
205	0.7955719462
206	0.7951224122
207	0.7948307317
208	0.794462078
209	0.7940467088
210	0.793555233
211	0.7931185335
212	0.7927949969
213	0.7924562557
214	0.7920461943
215	0.7915848391
216	0.7911066778
217	0.7906782433
218	0.7902635267
219	0.7899861874
220	0.7896725635
221	0.7893393175
222	0.7889566678
223	0.7887155597
224	0.7883270989
225	0.7878145298
226	0.7874698776
227	0.7872127211
228	0.7867947226
229	0.7863811839
230	0.7858564314
231	0.7855376827
232	0.7851913132
233	0.7847721821
234	0.784306188
235	0.7840196467
236	0.7836183214
237	0.7832660898
238	0.782944235
239	0.7825032042
240	0.7821080312
241	0.7817364681
242	0.7812722123
243	0.7809108516
244	0.7804845216
245	0.7800967616
246	0.7797890794
247	0.7793561978
248	0.7791039215
249	0.7787595075
250	0.7783487068
251	0.778042742
252	0.7775971029
253	0.7772710257
254	0.7769872899
255	0.776545554
256	0.7761268775
257	0.7757595415
258	0.7753514686
259	0.7748951072
260	0.7745453166
261	0.7740877107
262	0.7737197747
263	0.7732747374
264	0.7728670448
265	0.7725910825
266	0.7721714396
267	0.7718199017
268	0.7714893988
269	0.7711015282
270	0.770706624
271	0.7701722988
272	0.7698444004
273	0.7694264686
274	0.768940693
275	0.7686916267
276	0.7683490316
277	0.7680101058
278	0.7676859311
279	0.767536521
280	0.7672055983
281	0.7669156697
282	0.7665501664
283	0.7660289827
284	0.7655504375
285	0.7652924538
286	0.7650224374
287	0.7646832141
288	0.7643934901
289	0.7639590586
290	0.763575547
291	0.7632071506
292	0.762930267
293	0.762696391
294	0.762329954
295	0.7619638013
296	0.7613199703
297	0.7609497185
298	0.760576435
299	0.7600947888
