iter	Passed	Remaining
0	14	28750
1	28	28953
2	44	29311
3	58	29201
4	73	29163
5	87	29145
6	103	29422
7	117	29352
8	132	29290
9	147	29335
10	162	29390
11	176	29314
12	191	29307
13	206	29289
14	228	30297
15	253	31425
16	277	32387
17	302	33295
18	320	33388
19	334	33121
20	348	32864
21	363	32717
22	378	32531
23	393	32386
24	407	32201
25	422	32096
26	437	31958
27	452	31843
28	466	31706
29	481	31622
30	496	31512
31	510	31405
32	525	31340
33	540	31264
34	555	31168
35	570	31122
36	585	31054
37	600	31006
38	618	31086
39	635	31130
40	652	31182
41	668	31162
42	684	31150
43	699	31095
44	713	31008
45	728	30941
46	744	30929
47	758	30864
48	774	30829
49	789	30779
50	803	30723
51	819	30711
52	834	30671
53	850	30642
54	865	30596
55	879	30541
56	895	30520
57	909	30457
58	924	30422
59	939	30366
60	954	30350
61	970	30325
62	985	30308
63	1000	30272
64	1015	30234
65	1031	30215
66	1045	30161
67	1060	30121
68	1075	30095
69	1090	30053
70	1108	30116
71	1125	30151
72	1144	30206
73	1159	30170
74	1173	30131
75	1189	30107
76	1204	30068
77	1218	30020
78	1234	30015
79	1249	29994
80	1265	29970
81	1280	29955
82	1295	29916
83	1309	29877
84	1325	29853
85	1339	29816
86	1355	29799
87	1370	29779
88	1385	29759
89	1400	29725
90	1415	29688
91	1430	29658
92	1445	29630
93	1460	29623
94	1475	29589
95	1490	29559
96	1505	29529
97	1520	29511
98	1535	29483
99	1550	29464
100	1565	29430
101	1580	29401
102	1594	29373
103	1609	29343
104	1624	29321
105	1639	29295
106	1655	29284
107	1669	29246
108	1685	29232
109	1699	29195
110	1714	29177
111	1729	29151
112	1744	29126
113	1758	29088
114	1773	29064
115	1788	29043
116	1803	29022
117	1818	29008
118	1834	28996
119	1849	28968
120	1864	28957
121	1879	28931
122	1894	28909
123	1909	28892
124	1926	28896
125	1943	28911
126	1958	28890
127	1974	28870
128	1992	28893
129	2006	28869
130	2022	28857
131	2037	28828
132	2051	28804
133	2066	28778
134	2083	28779
135	2100	28786
136	2200	29928
137	2217	29920
138	2252	30153
139	2266	30106
140	2280	30069
141	2295	30033
142	2310	30003
143	2326	29986
144	2341	29960
145	2356	29921
146	2370	29881
147	2384	29838
148	2399	29802
149	2413	29771
150	2428	29741
151	2443	29705
152	2457	29672
153	2472	29641
154	2487	29605
155	2502	29576
156	2517	29547
157	2531	29516
158	2546	29489
159	2561	29458
160	2576	29435
161	2591	29404
162	2606	29377
163	2622	29357
164	2636	29323
165	2651	29299
166	2666	29268
167	2682	29249
168	2697	29221
169	2712	29201
170	2727	29167
171	2742	29143
172	2759	29137
173	2773	29104
